#options: 852x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:64 out:64 type:P dur:2 cpbdur:2 q:22.56 aq:17.27 tex:44178 mv:10736 misc:1758 imb:154 pmb:1130 smb:336 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:22.28 aq:15.95 tex:145286 mv:15464 misc:1698 imb:300 pmb:1298 smb:22 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:22.44 aq:15.14 tex:36140 mv:10095 misc:1765 imb:190 pmb:1033 smb:397 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:22.63 aq:16.90 tex:1297 mv:941 misc:962 imb:1 pmb:199 smb:1420 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:22.37 aq:16.83 tex:107841 mv:14950 misc:1697 imb:317 pmb:1216 smb:87 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:22.13 aq:16.48 tex:108146 mv:14684 misc:1714 imb:248 pmb:1316 smb:56 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:21.88 aq:16.83 tex:85067 mv:10614 misc:1759 imb:145 pmb:1000 smb:475 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:21.73 aq:15.62 tex:162940 mv:17555 misc:1713 imb:374 pmb:1223 smb:23 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:21.81 aq:16.66 tex:3737 mv:1137 misc:1150 imb:1 pmb:269 smb:1350 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:21.65 aq:16.20 tex:205673 mv:18878 misc:1697 imb:414 pmb:1190 smb:16 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:21.78 aq:16.99 tex:4688 mv:1165 misc:1235 imb:5 pmb:271 smb:1344 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:21.64 aq:15.65 tex:246550 mv:22666 misc:1696 imb:434 pmb:1176 smb:10 d:- ref:0 ;
